Estacao,Data,Dia,Mes,Ano,Insolacao,TempMaxima,TempMinima,Temp Comp Media,Umidade Relativa Media,Precipitacao
82191,16/11/2018,16,11,18,5.6,33,23.9,27.82,72.25,0
82191,17/11/2018,17,11,18,9.6,35.1,21.6,27.88,78.5,0
82191,18/11/2018,18,11,18,9.5,35.1,23.5,28.54,76.75,0.2
82191,19/11/2018,19,11,18,8.2,34.5,23.1,28.04,78,0.4
82191,20/11/2018,20,11,18,6.7,33.7,23.7,28,81.5,6
82191,21/11/2018,21,11,18,5.7,33.5,23.5,27.68,83,1.8
82191,22/11/2018,22,11,18,5,32.9,23.5,26.56,91,11.8
82191,23/11/2018,23,11,18,5.5,33.8,23.4,27.82,84.75,7.8
82191,24/11/2018,24,11,18,7.3,35.6,23.6,28.32,77.5,5.2
82191,25/11/2018,25,11,18,7.6,33.6,23.7,28.08,81.75,4.8
82191,26/11/2018,26,11,18,8.3,34,23.7,27.58,83,4.7
82191,27/11/2018,27,11,18,6.3,34.3,24.2,27.36,84.75,20.8
82191,28/11/2018,28,11,18,4.3,33.6,24.1,27.24,91.5,7.4
82191,29/11/2018,29,11,18,3.3,33.5,23.9,26.68,90.75,16
82191,30/11/2018,30,11,18,0,26.2,22.7,24.1,95.75,38.6
82191,01/12/2018,1,12,18,2.9,32.3,23.4,26.38,96.25,1.6
82191,02/12/2018,2,12,18,3.8,31.9,24.1,26.82,91.75,44.8
82191,03/12/2018,3,12,18,0.6,31.3,23.4,26.66,94.25,3.8
82191,04/12/2018,4,12,18,0.2,29.3,22.9,25,94.5,22.6
82191,05/12/2018,5,12,18,1.3,31.3,23.1,26.2,89.5,2.5
82191,06/12/2018,6,12,18,1.2,29.5,23.1,25.62,93.75,8.2
82191,07/12/2018,7,12,18,2.8,31.7,23.7,26.56,94.25,0.6
82191,08/12/2018,8,12,18,5.7,32.5,23.5,27.02,92.75,43.6
82191,09/12/2018,9,12,18,4.3,33.3,23.9,26.14,94.5,26.1
82191,10/12/2018,10,12,18,4.1,32.5,22.9,26.44,95,12
82191,11/12/2018,11,12,18,2.3,31.5,22.5,25.86,90.25,15.6
82191,12/12/2018,12,12,18,3.6,33.7,23.3,26.96,91.5,0
82191,13/12/2018,13,12,18,4,32.7,22.7,26.24,94.5,10.6
82191,14/12/2018,14,12,18,0,29.7,22.7,25.44,97.75,16.4
82191,15/12/2018,15,12,18,3.3,31.7,23.1,25.32,93,38.6
82191,16/12/2018,16,12,18,4.3,31.2,21.2,25.32,92.25,36.6
82191,17/12/2018,17,12,18,5.7,31.9,22.1,25.84,92,5.8
82191,18/12/2018,18,12,18,2,30.9,22.9,25.64,95,20.7
82191,19/12/2018,19,12,18,3.8,32.5,22.3,26.16,91,17.6
82191,20/12/2018,20,12,18,6.2,33.9,21.5,26.44,93.25,9.4
82191,21/12/2018,21,12,18,4.5,32.7,23,26.38,93,9.1
82191,22/12/2018,22,12,18,3.8,32.1,23.9,26.12,91.5,6.2
82191,23/12/2018,23,12,18,2.6,31.3,22.9,25.96,94,0.6
